Name,Type,Foreigner
Manan Vohra,bat,0
Mandeep Singh,bat,0
Manish Pandey,bat,0
Manoj Tiwary,bat,0
Manpreet Gony,all,0
Manprit Juneja,bat,0
Manvinder Bisla,wk,0
Marchant de Lange,bowl,1
Marcus Stoinis,all,1
Mark Boucher,wk,1
Mark Wood,bowl,1
Marlon Samuels,all,1
Martin Guptill,bat,1
Matt Henry,bowl,1
Matthew Wade,wk,1
Mayank Agarwal,bat,0
Mayank Markande,bowl,0
Michael Clarke,bat,1
Michael Hussey,bat,1
Michael Klinger,bat,1
Michael Lumb,bat,1
Michael Neser,bowl,1
Mitchell Johnson,all,1
Mitchell Marsh,all,1
Mitchell McClenaghan,bowl,1
Mitchell Santner,all,1
Mitchell Starc,bowl,1
Mithun Manhas,bat,0
Moeen Ali,all,1
Mohammad Nabi,all,1
Mohammed Kaif,bat,0
Mohammed Shami,bowl,0
Mohammed Siraj,bowl,0
Mohit Sharma,bowl,0
Mohnish Mishra,bat,0
Moises Henriques,all,1
Morne Morkel ,bowl,1
MS Dhoni,wk,0
Mujeeb Ur Rahman,bowl,1
Munaf Patel,bowl,0
Murali Kartik,bowl,0
Murali Vijay,bat,0
Murugan Ashwin,bowl,0
Mushfiqur Rahim,wk,1
Mustafizur Rahman,bowl,1
Muttiah Muralitharan,bowl,1
Naman Ojha,wk,0
Nathan Coulter-Nile,all,1
Nathan Lyon,bowl,1
Nathan McCullum,all,1
Nathan Rimmington,bowl,1
Nathu Singh,bowl,0
Navdeep Saini,bowl,0
Nayan Doshi,bowl,0
Nic Maddinson,bat,1
Nicholas Pooran,wk,1
Nikhil Naik,wk,0
Nitin Saini,wk,0
Nitish Rana,all,0
Nuwan Kulasekara,bowl,1
Oshane Thomas,bowl,1
Owais Shah,bat,1
P Awana,bowl,0
P Sahu,all,0
Pankaj Singh,bowl,0
Paras Dogra,bat,0
Parthiv Patel,wk,0
Parvez Rasool,bowl,0
Pat Cummins,bowl,1
Paul Valthaty,bat,0
Pawan Negi,all,0
Pawan Suyal,bowl,0
Peter Handscomb,bat,1
Pinal Shah,bat,0
Piyush Chawla,bowl,0
Pradeep Sangwan,bowl,0
Pragyan Ojha,bowl,0
Prasanth Padmanabhan,all,0
Prasanth Parameswaran,bowl,0
Prashant Chopra,bat,0
Prasidh Krishna,bowl,0
Praveen Kumar,bowl,0
Pravin Tambe,bowl,0
Prayas Ray Barman,bowl,0
Prithvi Shaw,bat,0
Quinton De Kock,wk,1
Rahul Chahar,bowl,0
Rahul Dravid,bat,0
